DATETIME,TOTAL_TX,TOTAL_FEE,AVG_TOTAL_FEE,TOTAL_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_REQUESTED,TOTAL_AVG_COMPUTE_UNITS_PROPORTION,SUCCESSFUL_TX,SUCCESSFUL_FEE,AVG_SUCCESSFUL_FEE,SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_REQUESTED,AVG_SUCCESSFUL_COMPUTE_UNITS_PROPORTION,FAILED_TX,FAILED_FEE,AVG_FAILED_FEE,FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_REQUESTED,AVG_FAILED_COMPUTE_UNITS_PROPORTION,SUCCESS_RATE,TOTAL_TPS,SUCCESFUL_TPS,FAILED_TPS
2022-05-02 23:00:00,1163104,6.477655,5.569282712e-06,102198890155,87867.370549,190303.0271820602,0.096317336351,776779,4.265775,5.491619882e-06,54269269938,69864.491622,193785.18903253583,0.095908180847,386325,2.21188,5.725438426e-06,47929620217,124065.541233,183301.48651021504,0.09714002037,0.66785,323.084444,215.771944,107.3125
2022-05-03 00:00:00,1180799,6.596815,5.586738302e-06,107111109763,90710.705008,189814.13398896696,0.095592620585,777348,4.284445,5.511617705e-06,54027886510,69502.830791,193972.30765900863,0.094123015005,403451,2.31237,5.731476684999999e-06,53083223253,131572.912827,181802.38538489968,0.098424178715,0.658324,327.999722,215.93,112.069722
2022-05-03 01:00:00,1099629,6.13162,5.57608066e-06,119364477854,108549.772563,186487.48278378928,0.10165755497,661260,3.65265,5.523772797e-06,46601423797,70473.677218,193663.67364782427,0.098014207167,438369,2.47897,5.654984727e-06,72763054057,165985.856794,175662.520318944,0.10715338193,0.601348,305.4525,183.683333,121.769167
2022-05-03 02:00:00,1145672,6.3553,5.547224685999999e-06,103506035238,90345.260457,189338.28208139507,0.094198917331,724563,3.984665,5.499404469e-06,42822637436,59101.330645,194944.41705853786,0.089663396255,421109,2.370635,5.6295044749999995e-06,60683397802,144103.777886,179692.32823703767,0.10200276564,0.632435,318.242222,201.2675,116.974722
2022-05-03 03:00:00,1238903,6.817395,5.5027673679999994e-06,107641032153,86884.148439,190270.37912153956,0.091253228351,805702,4.435545,5.505192987e-06,47935183185,59494.928876,195273.93362293032,0.087811798778,433201,2.38185,5.498256005999999e-06,59705848968,137824.817967,180964.3667418832,0.097653875371,0.650335,344.139722,223.806111,120.333611
2022-05-03 04:00:00,1255003,6.932135,5.523600342e-06,108308343129,86301.262331,191765.11912953443,0.098501671433,872031,4.783365,5.485315316e-06,70238099596,80545.415927,194461.2772117678,0.104019784448,382972,2.14877,5.610775723e-06,38070243533,99407.381044,185625.94073370376,0.085936873978,0.694844,348.611944,242.230833,106.381111
2022-05-03 05:00:00,1202825,6.67983,5.55345125e-06,120037232849,99796.090744,190388.10329288832,0.103674923083,831449,4.57608,5.503741059e-06,80191082238,96447.385514,192994.2833109176,0.110057914931,371376,2.10375,5.664744087e-06,39846150611,107293.283925,184553.30037129292,0.089384467619,0.691247,334.118056,230.958056,103.16
2022-05-03 06:00:00,1274785,7.07081,5.546668654e-06,104197235864,81737.105366,192003.28832941363,0.095656577359,930495,5.15337,5.538310254e-06,73686291927,79190.422224,193711.32285315113,0.100882159428,344290,1.91744,5.569258474e-06,30510943937,88619.895835,187387.0706519756,0.081533663571,0.729923,354.106944,258.470833,95.636111
2022-05-03 07:00:00,1248350,6.957825,5.5736171750000005e-06,101511676650,81316.679337,192153.38687907098,0.096709828726,909302,5.05195,5.55585493e-06,75061991305,82549.022552,193447.5190728751,0.102570346653,339048,1.905875,5.6212542180000004e-06,26449685345,78011.62474,188682.61875157733,0.080992347214,0.728403,346.763889,252.583889,94.18
2022-05-03 08:00:00,1287511,7.15463,5.556946698e-06,100701958350,78214.445042,192654.08001583826,0.097972418516,946329,5.26315,5.561649278e-06,77283212794,81666.326187,193503.87349070207,0.101774199164,341182,1.89148,5.543903254e-06,23418745556,68640.038326,190297.0265684864,0.087427503255,0.735007,357.641944,262.869167,94.772778
