game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Matthew Stafford,StafMa00,1.0,2.0,2.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Darrell Henderson,HendDa00,13.0,30.0,2.3,17.0,1.3,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Cam Akers,AkerCa00,3.0,0.0,0.0,0.0,0.0,0.0,
2022_01_BUF_LA,202209080ram,2022,1,REG,LA,BUF,Brandon Powell,PoweBr00,1.0,3.0,3.0,0.0,0.0,0.0,
